Time,normal_interactions,curtailed_interactions
357.75,2.13861e+07,2.13861e+07
358,2.13861e+07,2.13861e+07
358.25,2.13861e+07,2.13861e+07
358.5,2.13861e+07,2.13861e+07
358.75,2.13861e+07,2.13861e+07
359,2.13861e+07,2.13861e+07
359.25,2.13861e+07,2.13861e+07
359.5,2.13861e+07,2.13861e+07
359.75,2.13861e+07,2.13861e+07
360,2.13861e+07,2.13861e+07
360.25,2.13861e+07,2.13861e+07
360.5,2.13861e+07,2.13861e+07
360.75,2.13861e+07,2.13861e+07
361,2.13861e+07,2.13861e+07
361.25,2.13861e+07,2.13861e+07
361.5,2.13861e+07,2.13861e+07
361.75,2.13861e+07,2.13861e+07
362,2.13861e+07,2.13861e+07
362.25,2.13861e+07,2.13861e+07
362.5,2.13861e+07,2.13861e+07
362.75,2.13861e+07,2.13861e+07
363,2.13861e+07,2.13861e+07
363.25,2.13861e+07,2.13861e+07
363.5,2.13861e+07,2.13861e+07
363.75,2.13861e+07,2.13861e+07
364,2.13861e+07,2.13861e+07
364.25,2.13861e+07,2.13861e+07
364.5,2.13861e+07,2.13861e+07
364.75,2.13861e+07,2.13861e+07
