Time,normal_interactions,curtailed_interactions
154.25,2.13861e+07,2.13861e+07
154.5,2.13861e+07,2.13861e+07
154.75,2.13861e+07,2.13861e+07
155,2.13861e+07,2.13861e+07
155.25,2.13861e+07,2.13861e+07
155.5,2.13861e+07,2.13861e+07
155.75,2.13861e+07,2.13861e+07
156,2.13861e+07,2.13861e+07
156.25,2.13861e+07,2.13861e+07
156.5,2.13861e+07,2.13861e+07
156.75,2.13861e+07,2.13861e+07
157,2.13861e+07,2.13861e+07
157.25,2.13861e+07,2.13861e+07
157.5,2.13861e+07,2.13861e+07
157.75,2.13861e+07,2.13861e+07
158,2.13861e+07,2.13861e+07
158.25,2.13861e+07,2.13861e+07
158.5,2.13861e+07,2.13861e+07
158.75,2.13861e+07,2.13861e+07
159,2.13861e+07,2.13861e+07
159.25,2.13861e+07,2.13861e+07
159.5,2.13861e+07,2.13861e+07
159.75,2.13861e+07,2.13861e+07
160,2.13861e+07,2.13861e+07
160.25,2.13861e+07,2.13861e+07
160.5,2.13861e+07,2.13861e+07
160.75,2.13861e+07,2.13861e+07
161,2.13861e+07,2.13861e+07
161.25,2.13861e+07,2.13861e+07
161.5,2.13861e+07,2.13861e+07
161.75,2.13861e+07,2.13861e+07
162,2.13861e+07,2.13861e+07
162.25,2.13861e+07,2.13861e+07
162.5,2.13861e+07,2.13861e+07
162.75,2.13861e+07,2.13861e+07
163,2.13861e+07,2.13861e+07
163.25,2.13861e+07,2.13861e+07
163.5,2.13861e+07,2.13861e+07
163.75,2.13861e+07,2.13861e+07
164,2.13861e+07,2.13861e+07
164.25,2.13861e+07,2.13861e+07
164.5,2.13861e+07,2.13861e+07
164.75,2.13861e+07,2.13861e+07
165,2.13861e+07,2.13861e+07
165.25,2.13861e+07,2.13861e+07
165.5,2.13861e+07,2.13861e+07
165.75,2.13861e+07,2.13861e+07
166,2.13861e+07,2.13861e+07
166.25,2.13861e+07,2.13861e+07
166.5,2.13861e+07,2.13861e+07
166.75,2.13861e+07,2.13861e+07
167,2.13861e+07,2.13861e+07
167.25,2.13861e+07,2.13861e+07
167.5,2.13861e+07,2.13861e+07
167.75,2.13861e+07,2.13861e+07
168,2.13861e+07,2.13861e+07
168.25,2.13861e+07,2.13861e+07
168.5,2.13861e+07,2.13861e+07
168.75,2.13861e+07,2.13861e+07
169,2.13861e+07,2.13861e+07
169.25,2.13861e+07,2.13861e+07
169.5,2.13861e+07,2.13861e+07
169.75,2.13861e+07,2.13861e+07
170,2.13861e+07,2.13861e+07
170.25,2.13861e+07,2.13861e+07
170.5,2.13861e+07,2.13861e+07
170.75,2.13861e+07,2.13861e+07
171,2.13861e+07,2.13861e+07
171.25,2.13861e+07,2.13861e+07
171.5,2.13861e+07,2.13861e+07
171.75,2.13861e+07,2.13861e+07
172,2.13861e+07,2.13861e+07
172.25,2.13861e+07,2.13861e+07
172.5,2.13861e+07,2.13861e+07
172.75,2.13861e+07,2.13861e+07
173,2.13861e+07,2.13861e+07
173.25,2.13861e+07,2.13861e+07
173.5,2.13861e+07,2.13861e+07
173.75,2.13861e+07,2.13861e+07
174,2.13861e+07,2.13861e+07
174.25,2.13861e+07,2.13861e+07
174.5,2.13861e+07,2.13861e+07
174.75,2.13861e+07,2.13861e+07
175,2.13861e+07,2.13861e+07
175.25,2.13861e+07,2.13861e+07
175.5,2.13861e+07,2.13861e+07
175.75,2.13861e+07,2.13861e+07
176,2.13861e+07,2.13861e+07
176.25,2.13861e+07,2.13861e+07
176.5,2.13861e+07,2.13861e+07
176.75,2.13861e+07,2.13861e+07
177,2.13861e+07,2.13861e+07
177.25,2.13861e+07,2.13861e+07
177.5,2.13861e+07,2.13861e+07
177.75,2.13861e+07,2.13861e+07
178,2.13861e+07,2.13861e+07
178.25,2.13861e+07,2.13861e+07
178.5,2.13861e+07,2.13861e+07
