Time,num_cases
161.5,5369695
161.75,5369695
162,5369695
162.25,5369695
162.5,5369695
162.75,5369695
163,5369695
163.25,5369695
163.5,5369695
163.75,5369695
164,5369695
164.25,5369695
164.5,5369695
164.75,5369695
165,5369696
165.25,5369696
165.5,5369696
165.75,5369696
166,5369696
166.25,5369696
166.5,5369696
166.75,5369696
167,5369696
167.25,5369696
167.5,5369696
167.75,5369697
168,5369697
168.25,5369697
168.5,5369697
168.75,5369697
169,5369697
169.25,5369697
169.5,5369697
169.75,5369697
170,5369697
170.25,5369697
170.5,5369697
170.75,5369697
171,5369697
171.25,5369697
171.5,5369697
171.75,5369697
172,5369697
172.25,5369697
172.5,5369697
172.75,5369697
173,5369697
173.25,5369697
173.5,5369697
173.75,5369697
174,5369697
174.25,5369697
174.5,5369697
174.75,5369698
175,5369698
175.25,5369698
175.5,5369698
175.75,5369698
176,5369698
176.25,5369698
176.5,5369698
176.75,5369698
177,5369698
177.25,5369698
177.5,5369698
177.75,5369698
178,5369698
178.25,5369698
178.5,5369698
178.75,5369699
179,5369699
179.25,5369699
179.5,5369699
179.75,5369700
180,5369700
180.25,5369700
180.5,5369700
180.75,5369700
181,5369700
181.25,5369700
181.5,5369700
181.75,5369700
182,5369700
182.25,5369700
182.5,5369700
182.75,5369700
183,5369700
183.25,5369700
183.5,5369700
183.75,5369700
184,5369700
184.25,5369700
184.5,5369700
184.75,5369700
185,5369700
185.25,5369700
185.5,5369700
185.75,5369700
186,5369700
186.25,5369700
186.5,5369700
186.75,5369700
187,5369700
187.25,5369700
187.5,5369700
187.75,5369700
188,5369700
188.25,5369700
188.5,5369700
188.75,5369700
189,5369700
189.25,5369700
189.5,5369700
189.75,5369700
190,5369700
190.25,5369700
190.5,5369700
190.75,5369700
191,5369700
191.25,5369700
191.5,5369700
191.75,5369700
192,5369700
192.25,5369700
192.5,5369700
192.75,5369700
193,5369700
193.25,5369700
193.5,5369700
193.75,5369700
194,5369700
194.25,5369700
194.5,5369700
194.75,5369700
195,5369700
195.25,5369700
195.5,5369700
195.75,5369700
196,5369700
196.25,5369700
196.5,5369700
196.75,5369700
197,5369700
197.25,5369700
197.5,5369700
197.75,5369700
198,5369700
198.25,5369700
198.5,5369700
198.75,5369700
199,5369700
199.25,5369700
199.5,5369700
199.75,5369700
200,5369700
200.25,5369700
200.5,5369700
200.75,5369700
201,5369700
201.25,5369700
201.5,5369700
201.75,5369700
202,5369700
202.25,5369700
202.5,5369700
