Time,cumulative_mean_fraction_lambda_W
122.25,0.520119
122.5,0.520119
122.75,0.520118
123,0.520118
123.25,0.520118
123.5,0.520118
123.75,0.520118
124,0.520118
124.25,0.520118
124.5,0.520117
124.75,0.520117
125,0.520117
125.25,0.520117
125.5,0.520116
125.75,0.520116
126,0.520116
126.25,0.520116
126.5,0.520116
126.75,0.520117
127,0.520116
127.25,0.520116
127.5,0.520116
127.75,0.520116
128,0.520115
128.25,0.520115
128.5,0.520115
128.75,0.520115
129,0.520115
129.25,0.520115
129.5,0.520115
129.75,0.520115
130,0.520115
130.25,0.520114
130.5,0.520114
130.75,0.520114
131,0.520114
131.25,0.520114
131.5,0.520114
131.75,0.520114
132,0.520114
132.25,0.520113
132.5,0.520113
132.75,0.520113
133,0.520113
133.25,0.520113
133.5,0.520113
133.75,0.520113
134,0.520113
134.25,0.520113
134.5,0.520113
134.75,0.520113
135,0.520113
135.25,0.520113
135.5,0.520112
135.75,0.520112
136,0.520112
136.25,0.520112
136.5,0.520112
136.75,0.520112
137,0.520112
137.25,0.520112
137.5,0.520112
137.75,0.520112
138,0.520112
138.25,0.520112
138.5,0.520112
138.75,0.520112
139,0.520112
139.25,0.520112
139.5,0.520112
139.75,0.520112
140,0.520112
140.25,0.520112
140.5,0.520112
140.75,0.520112
141,0.520112
141.25,0.520112
141.5,0.520111
141.75,0.520111
142,0.520111
142.25,0.520111
142.5,0.520111
142.75,0.520111
143,0.520111
143.25,0.520111
143.5,0.520111
143.75,0.520111
144,0.520111
144.25,0.520111
144.5,0.520111
144.75,0.520111
145,0.520111
145.25,0.520111
145.5,0.520111
145.75,0.520111
146,0.520111
146.25,0.520111
146.5,0.520111
146.75,0.520111
147,0.520111
147.25,0.520111
147.5,0.520111
147.75,0.520111
148,0.520111
148.25,0.520111
148.5,0.520111
148.75,0.520111
149,0.520111
149.25,0.520111
149.5,0.520111
149.75,0.520111
150,0.520111
150.25,0.520111
150.5,0.520111
150.75,0.520111
151,0.520111
151.25,0.520111
151.5,0.520111
151.75,0.520111
152,0.520111
152.25,0.520111
152.5,0.520111
152.75,0.520111
153,0.520111
153.25,0.520111
153.5,0.520111
153.75,0.520111
154,0.520111
154.25,0.520111
154.5,0.520111
154.75,0.520111
155,0.520111
155.25,0.520111
155.5,0.520111
155.75,0.520111
156,0.520111
156.25,0.520111
156.5,0.520111
156.75,0.520111
157,0.520111
157.25,0.520111
157.5,0.520111
157.75,0.520111
158,0.520111
158.25,0.520111
158.5,0.520111
158.75,0.520111
159,0.520111
159.25,0.520111
159.5,0.520111
159.75,0.520111
160,0.520111
160.25,0.520111
160.5,0.520111
160.75,0.520111
161,0.520111
161.25,0.520111
161.5,0.520111
161.75,0.520111
162,0.520111
162.25,0.520111
162.5,0.520111
162.75,0.520111
163,0.520111
163.25,0.520111
163.5,0.520111
163.75,0.520111
164,0.520111
164.25,0.520111
164.5,0.520111
164.75,0.520111
165,0.520111
165.25,0.520111
165.5,0.520111
165.75,0.52011
166,0.52011
166.25,0.52011
166.5,0.52011
166.75,0.52011
167,0.52011
167.25,0.52011
167.5,0.52011
167.75,0.52011
168,0.52011
168.25,0.52011
168.5,0.52011
168.75,0.52011
169,0.52011
169.25,0.52011
169.5,0.52011
169.75,0.52011
170,0.52011
170.25,0.52011
170.5,0.52011
170.75,0.52011
171,0.52011
171.25,0.52011
171.5,0.52011
171.75,0.52011
172,0.52011
172.25,0.52011
172.5,0.52011
172.75,0.52011
173,0.52011
173.25,0.52011
173.5,0.52011
173.75,0.52011
174,0.52011
174.25,0.52011
174.5,0.52011
174.75,0.52011
175,0.52011
175.25,0.52011
175.5,0.52011
175.75,0.52011
176,0.52011
176.25,0.52011
176.5,0.52011
176.75,0.52011
177,0.52011
177.25,0.52011
177.5,0.52011
177.75,0.52011
178,0.52011
178.25,0.52011
178.5,0.52011
178.75,0.52011
179,0.52011
179.25,0.52011
179.5,0.52011
179.75,0.52011
180,0.52011
180.25,0.52011
180.5,0.52011
180.75,0.52011
181,0.52011
181.25,0.52011
181.5,0.52011
181.75,0.52011
182,0.52011
182.25,0.52011
182.5,0.52011
182.75,0.52011
183,0.52011
183.25,0.52011
183.5,0.52011
