Time,num_affected
166.25,8018306
166.5,8018306
166.75,8018306
167,8018306
167.25,8018306
167.5,8018306
167.75,8018306
168,8018306
168.25,8018306
168.5,8018306
168.75,8018306
169,8018306
169.25,8018306
169.5,8018306
169.75,8018306
170,8018306
170.25,8018306
170.5,8018306
170.75,8018306
171,8018306
171.25,8018306
171.5,8018306
171.75,8018306
172,8018306
172.25,8018306
172.5,8018306
172.75,8018306
173,8018306
173.25,8018307
173.5,8018307
173.75,8018307
174,8018307
174.25,8018307
174.5,8018307
174.75,8018307
175,8018308
175.25,8018308
175.5,8018308
175.75,8018308
176,8018308
176.25,8018308
176.5,8018308
176.75,8018308
177,8018308
177.25,8018308
177.5,8018308
177.75,8018308
178,8018309
178.25,8018309
178.5,8018309
178.75,8018309
179,8018309
179.25,8018309
179.5,8018309
179.75,8018309
180,8018309
180.25,8018309
180.5,8018309
180.75,8018309
181,8018309
181.25,8018309
181.5,8018309
181.75,8018309
182,8018309
182.25,8018309
182.5,8018309
182.75,8018309
183,8018309
183.25,8018309
183.5,8018309
183.75,8018309
184,8018309
184.25,8018309
184.5,8018309
184.75,8018309
185,8018309
185.25,8018309
185.5,8018309
185.75,8018309
186,8018309
186.25,8018309
186.5,8018309
186.75,8018309
187,8018309
187.25,8018309
187.5,8018309
187.75,8018309
188,8018309
188.25,8018309
188.5,8018309
188.75,8018309
189,8018309
189.25,8018309
189.5,8018309
189.75,8018309
190,8018309
190.25,8018309
190.5,8018309
190.75,8018309
191,8018309
191.25,8018309
191.5,8018309
191.75,8018309
192,8018309
192.25,8018309
192.5,8018309
192.75,8018309
193,8018309
193.25,8018309
193.5,8018309
193.75,8018309
194,8018309
194.25,8018309
194.5,8018309
194.75,8018309
195,8018309
195.25,8018309
195.5,8018309
195.75,8018309
196,8018309
196.25,8018309
196.5,8018309
196.75,8018309
197,8018309
197.25,8018309
197.5,8018309
197.75,8018309
198,8018309
198.25,8018309
198.5,8018309
198.75,8018309
199,8018309
199.25,8018309
199.5,8018309
199.75,8018309
200,8018309
200.25,8018309
200.5,8018309
200.75,8018309
201,8018309
201.25,8018309
201.5,8018309
201.75,8018309
202,8018309
202.25,8018309
202.5,8018309
202.75,8018309
203,8018309
203.25,8018309
203.5,8018309
203.75,8018309
204,8018309
204.25,8018309
204.5,8018309
204.75,8018309
205,8018309
205.25,8018309
205.5,8018309
205.75,8018309
206,8018309
206.25,8018309
206.5,8018309
206.75,8018309
207,8018309
207.25,8018309
207.5,8018309
207.75,8018309
208,8018309
208.25,8018309
208.5,8018309
208.75,8018309
209,8018309
209.25,8018309
209.5,8018309
209.75,8018309
210,8018309
210.25,8018309
210.5,8018309
210.75,8018309
211,8018309
211.25,8018309
211.5,8018309
211.75,8018309
212,8018309
212.25,8018309
212.5,8018309
212.75,8018309
213,8018309
213.25,8018309
213.5,8018309
213.75,8018309
214,8018309
214.25,8018309
214.5,8018309
214.75,8018309
215,8018309
