Time,num_cumulative_infective
193.75,8018309
194,8018309
194.25,8018309
194.5,8018309
194.75,8018309
195,8018309
195.25,8018309
195.5,8018309
195.75,8018309
196,8018309
196.25,8018309
196.5,8018309
196.75,8018309
197,8018309
197.25,8018309
197.5,8018309
197.75,8018309
198,8018309
198.25,8018309
198.5,8018309
198.75,8018309
199,8018309
199.25,8018309
199.5,8018309
199.75,8018309
200,8018309
200.25,8018309
200.5,8018309
200.75,8018309
201,8018309
201.25,8018309
201.5,8018309
201.75,8018309
202,8018309
202.25,8018309
202.5,8018309
202.75,8018309
203,8018309
203.25,8018309
203.5,8018309
203.75,8018309
204,8018309
204.25,8018309
204.5,8018309
204.75,8018309
205,8018309
205.25,8018309
205.5,8018309
205.75,8018309
206,8018309
206.25,8018309
206.5,8018309
206.75,8018309
207,8018309
207.25,8018309
207.5,8018309
207.75,8018309
208,8018309
208.25,8018309
208.5,8018309
208.75,8018309
209,8018309
209.25,8018309
209.5,8018309
209.75,8018309
210,8018309
210.25,8018309
210.5,8018309
210.75,8018309
211,8018309
211.25,8018309
211.5,8018309
211.75,8018309
212,8018309
212.25,8018309
212.5,8018309
212.75,8018309
213,8018309
213.25,8018309
213.5,8018309
213.75,8018309
214,8018309
214.25,8018309
214.5,8018309
214.75,8018309
215,8018309
215.25,8018309
215.5,8018309
215.75,8018309
216,8018309
216.25,8018309
216.5,8018309
216.75,8018309
217,8018309
217.25,8018309
217.5,8018309
217.75,8018309
218,8018309
218.25,8018309
218.5,8018309
218.75,8018309
219,8018309
219.25,8018309
219.5,8018309
219.75,8018309
220,8018309
220.25,8018309
220.5,8018309
220.75,8018309
221,8018309
221.25,8018309
221.5,8018309
221.75,8018309
222,8018309
222.25,8018309
222.5,8018309
222.75,8018309
223,8018309
223.25,8018309
223.5,8018309
223.75,8018309
224,8018309
224.25,8018309
224.5,8018309
224.75,8018309
225,8018309
225.25,8018309
225.5,8018309
225.75,8018309
226,8018309
226.25,8018309
226.5,8018309
226.75,8018309
227,8018309
227.25,8018309
227.5,8018309
227.75,8018309
228,8018309
228.25,8018309
228.5,8018309
228.75,8018309
229,8018309
229.25,8018309
229.5,8018309
229.75,8018309
230,8018309
230.25,8018309
230.5,8018309
230.75,8018309
231,8018309
231.25,8018309
231.5,8018309
231.75,8018309
232,8018309
232.25,8018309
232.5,8018309
232.75,8018309
233,8018309
233.25,8018309
233.5,8018309
233.75,8018309
