Time,num_recovered
175.5,7966339
175.75,7966339
176,7966339
176.25,7966340
176.5,7966340
176.75,7966340
177,7966340
177.25,7966340
177.5,7966340
177.75,7966340
178,7966340
178.25,7966340
178.5,7966340
178.75,7966340
179,7966340
179.25,7966340
179.5,7966340
179.75,7966340
180,7966340
180.25,7966340
180.5,7966341
180.75,7966341
181,7966341
181.25,7966341
181.5,7966341
181.75,7966341
182,7966341
182.25,7966341
182.5,7966341
182.75,7966341
183,7966341
183.25,7966341
183.5,7966341
183.75,7966341
184,7966341
184.25,7966341
184.5,7966341
184.75,7966341
185,7966341
185.25,7966341
185.5,7966341
185.75,7966341
186,7966341
186.25,7966341
186.5,7966342
186.75,7966342
187,7966342
187.25,7966342
187.5,7966342
187.75,7966342
188,7966342
188.25,7966342
188.5,7966342
188.75,7966342
189,7966342
189.25,7966342
189.5,7966342
189.75,7966342
190,7966342
190.25,7966343
190.5,7966343
190.75,7966343
191,7966343
191.25,7966343
191.5,7966343
191.75,7966343
192,7966343
192.25,7966343
192.5,7966343
192.75,7966343
193,7966343
193.25,7966343
193.5,7966343
193.75,7966343
194,7966343
194.25,7966343
194.5,7966343
194.75,7966343
195,7966343
195.25,7966343
195.5,7966343
195.75,7966343
196,7966343
196.25,7966343
196.5,7966343
196.75,7966343
197,7966343
197.25,7966343
197.5,7966343
197.75,7966343
198,7966343
198.25,7966343
198.5,7966343
198.75,7966343
199,7966343
199.25,7966343
199.5,7966343
199.75,7966343
200,7966343
200.25,7966343
200.5,7966343
200.75,7966343
201,7966343
201.25,7966343
201.5,7966343
201.75,7966343
202,7966343
202.25,7966343
202.5,7966343
202.75,7966343
203,7966343
203.25,7966343
203.5,7966343
203.75,7966343
204,7966343
204.25,7966343
204.5,7966343
204.75,7966343
205,7966343
205.25,7966343
205.5,7966343
205.75,7966343
206,7966343
206.25,7966343
206.5,7966343
206.75,7966343
207,7966343
207.25,7966343
207.5,7966343
207.75,7966343
208,7966343
208.25,7966343
208.5,7966343
208.75,7966343
209,7966343
209.25,7966343
209.5,7966343
209.75,7966343
210,7966343
210.25,7966343
210.5,7966343
210.75,7966343
211,7966343
211.25,7966343
211.5,7966343
211.75,7966343
212,7966343
212.25,7966343
212.5,7966343
212.75,7966343
213,7966343
213.25,7966343
213.5,7966343
213.75,7966343
214,7966343
214.25,7966343
214.5,7966343
214.75,7966343
215,7966343
215.25,7966343
215.5,7966343
215.75,7966343
216,7966343
216.25,7966343
216.5,7966343
216.75,7966343
217,7966343
217.25,7966343
217.5,7966343
217.75,7966343
218,7966343
218.25,7966343
218.5,7966343
218.75,7966343
219,7966343
219.25,7966343
219.5,7966343
219.75,7966343
220,7966343
220.25,7966343
220.5,7966343
220.75,7966343
221,7966343
221.25,7966343
221.5,7966343
221.75,7966343
222,7966343
222.25,7966343
222.5,7966343
222.75,7966343
223,7966343
223.25,7966343
223.5,7966343
223.75,7966343
224,7966343
224.25,7966343
224.5,7966343
224.75,7966343
225,7966343
225.25,7966343
225.5,7966343
225.75,7966343
226,7966343
226.25,7966343
226.5,7966343
226.75,7966343
227,7966343
227.25,7966343
227.5,7966343
227.75,7966343
228,7966343
228.25,7966343
228.5,7966343
228.75,7966343
229,7966343
229.25,7966343
229.5,7966343
229.75,7966343
230,7966343
230.25,7966343
230.5,7966343
230.75,7966343
231,7966343
231.25,7966343
231.5,7966343
231.75,7966343
232,7966343
232.25,7966343
232.5,7966343
232.75,7966343
233,7966343
233.25,7966343
233.5,7966343
233.75,7966343
234,7966343
234.25,7966343
234.5,7966343
234.75,7966343
235,7966343
235.25,7966343
235.5,7966343
235.75,7966343
236,7966343
236.25,7966343
236.5,7966343
236.75,7966343
237,7966343
237.25,7966343
237.5,7966343
237.75,7966343
238,7966343
238.25,7966343
238.5,7966343
238.75,7966343
239,7966343
239.25,7966343
239.5,7966343
239.75,7966343
240,7966343
240.25,7966343
240.5,7966343
240.75,7966343
241,7966343
241.25,7966343
241.5,7966343
241.75,7966343
242,7966343
242.25,7966343
242.5,7966343
242.75,7966343
243,7966343
243.25,7966343
243.5,7966343
243.75,7966343
244,7966343
244.25,7966343
244.5,7966343
244.75,7966343
245,7966343
245.25,7966343
245.5,7966343
245.75,7966343
246,7966343
246.25,7966343
246.5,7966343
246.75,7966343
247,7966343
247.25,7966343
247.5,7966343
247.75,7966343
248,7966343
248.25,7966343
248.5,7966343
248.75,7966343
249,7966343
249.25,7966343
249.5,7966343
249.75,7966343
250,7966343
250.25,7966343
250.5,7966343
250.75,7966343
251,7966343
251.25,7966343
251.5,7966343
251.75,7966343
252,7966343
252.25,7966343
252.5,7966343
252.75,7966343
253,7966343
