Time,cumulative_mean_fraction_lambda_H
205.25,0.269758
205.5,0.269758
205.75,0.269758
206,0.269758
206.25,0.269758
206.5,0.269758
206.75,0.269758
207,0.269758
207.25,0.269758
207.5,0.269758
207.75,0.269758
208,0.269758
208.25,0.269758
208.5,0.269758
208.75,0.269758
209,0.269758
209.25,0.269758
209.5,0.269758
209.75,0.269758
210,0.269758
210.25,0.269758
210.5,0.269758
210.75,0.269758
211,0.269758
211.25,0.269758
211.5,0.269758
211.75,0.269758
212,0.269758
212.25,0.269758
212.5,0.269758
212.75,0.269758
213,0.269758
213.25,0.269758
213.5,0.269758
213.75,0.269758
214,0.269758
214.25,0.269758
214.5,0.269758
214.75,0.269758
215,0.269758
215.25,0.269758
215.5,0.269758
215.75,0.269758
216,0.269758
216.25,0.269758
216.5,0.269758
216.75,0.269758
217,0.269758
217.25,0.269758
217.5,0.269758
217.75,0.269758
218,0.269758
218.25,0.269758
218.5,0.269758
218.75,0.269758
219,0.269758
219.25,0.269758
219.5,0.269758
219.75,0.269758
220,0.269758
220.25,0.269758
220.5,0.269758
220.75,0.269758
221,0.269758
221.25,0.269758
221.5,0.269758
221.75,0.269758
222,0.269758
222.25,0.269758
222.5,0.269758
222.75,0.269758
223,0.269758
223.25,0.269758
223.5,0.269758
223.75,0.269758
224,0.269758
224.25,0.269758
224.5,0.269758
224.75,0.269758
225,0.269758
225.25,0.269758
225.5,0.269758
225.75,0.269758
226,0.269758
226.25,0.269758
226.5,0.269758
226.75,0.269758
227,0.269758
227.25,0.269758
227.5,0.269758
227.75,0.269758
228,0.269758
228.25,0.269758
228.5,0.269758
228.75,0.269758
229,0.269758
229.25,0.269758
229.5,0.269758
229.75,0.269758
230,0.269758
230.25,0.269758
230.5,0.269758
230.75,0.269758
231,0.269758
231.25,0.269758
231.5,0.269758
231.75,0.269758
232,0.269758
232.25,0.269758
232.5,0.269758
232.75,0.269758
233,0.269758
233.25,0.269758
233.5,0.269758
233.75,0.269758
234,0.269758
234.25,0.269758
234.5,0.269758
234.75,0.269758
235,0.269758
235.25,0.269758
235.5,0.269758
235.75,0.269758
236,0.269758
236.25,0.269758
236.5,0.269758
236.75,0.269758
237,0.269758
237.25,0.269758
237.5,0.269758
237.75,0.269758
238,0.269758
238.25,0.269758
238.5,0.269758
238.75,0.269758
239,0.269758
239.25,0.269758
239.5,0.269758
239.75,0.269758
240,0.269758
240.25,0.269758
240.5,0.269758
240.75,0.269758
241,0.269758
241.25,0.269758
241.5,0.269758
241.75,0.269758
242,0.269758
242.25,0.269758
242.5,0.269758
242.75,0.269758
243,0.269758
243.25,0.269758
243.5,0.269758
243.75,0.269758
244,0.269758
244.25,0.269758
244.5,0.269758
244.75,0.269758
245,0.269758
245.25,0.269758
245.5,0.269758
245.75,0.269758
246,0.269758
246.25,0.269758
246.5,0.269758
246.75,0.269758
247,0.269758
247.25,0.269758
247.5,0.269758
247.75,0.269758
248,0.269758
248.25,0.269758
248.5,0.269758
248.75,0.269758
249,0.269758
249.25,0.269758
249.5,0.269758
249.75,0.269758
250,0.269758
250.25,0.269758
250.5,0.269758
250.75,0.269758
251,0.269758
251.25,0.269758
251.5,0.269758
251.75,0.269758
252,0.269758
252.25,0.269758
252.5,0.269758
252.75,0.269758
253,0.269758
253.25,0.269758
253.5,0.269758
253.75,0.269758
254,0.269758
254.25,0.269758
254.5,0.269758
254.75,0.269758
255,0.269758
255.25,0.269758
255.5,0.269758
255.75,0.269758
256,0.269758
256.25,0.269758
256.5,0.269758
256.75,0.269758
257,0.269758
257.25,0.269758
257.5,0.269758
257.75,0.269758
258,0.269758
258.25,0.269758
258.5,0.269758
258.75,0.269758
259,0.269758
259.25,0.269758
259.5,0.269758
259.75,0.269758
260,0.269758
260.25,0.269758
260.5,0.269758
260.75,0.269758
261,0.269758
261.25,0.269758
261.5,0.269758
261.75,0.269758
262,0.269758
262.25,0.269758
262.5,0.269758
262.75,0.269758
263,0.269758
263.25,0.269758
263.5,0.269758
263.75,0.269758
264,0.269758
264.25,0.269758
264.5,0.269758
264.75,0.269758
265,0.269758
265.25,0.269758
265.5,0.269758
265.75,0.269758
266,0.269758
266.25,0.269758
266.5,0.269758
266.75,0.269758
267,0.269758
267.25,0.269758
267.5,0.269758
267.75,0.269758
268,0.269758
268.25,0.269758
268.5,0.269758
268.75,0.269758
269,0.269758
269.25,0.269758
269.5,0.269758
269.75,0.269758
270,0.269758
270.25,0.269758
270.5,0.269758
270.75,0.269758
271,0.269758
271.25,0.269758
271.5,0.269758
271.75,0.269758
272,0.269758
272.25,0.269758
272.5,0.269758
272.75,0.269758
273,0.269758
273.25,0.269758
273.5,0.269758
273.75,0.269758
274,0.269758
274.25,0.269758
274.5,0.269758
274.75,0.269758
275,0.269758
275.25,0.269758
275.5,0.269758
275.75,0.269758
276,0.269758
276.25,0.269758
276.5,0.269758
276.75,0.269758
277,0.269758
277.25,0.269758
277.5,0.269758
277.75,0.269758
278,0.269758
278.25,0.269758
278.5,0.269758
278.75,0.269758
279,0.269758
279.25,0.269758
279.5,0.269758
279.75,0.269758
280,0.269758
280.25,0.269758
280.5,0.269758
280.75,0.269758
281,0.269758
281.25,0.269758
281.5,0.269758
281.75,0.269758
282,0.269758
282.25,0.269758
282.5,0.269758
282.75,0.269758
283,0.269758
283.25,0.269758
283.5,0.269758
283.75,0.269758
284,0.269758
284.25,0.269758
284.5,0.269758
284.75,0.269758
285,0.269758
285.25,0.269758
285.5,0.269758
285.75,0.269758
286,0.269758
286.25,0.269758
286.5,0.269758
286.75,0.269758
287,0.269758
287.25,0.269758
287.5,0.269758
287.75,0.269758
288,0.269758
288.25,0.269758
288.5,0.269758
288.75,0.269758
289,0.269758
289.25,0.269758
289.5,0.269758
289.75,0.269758
290,0.269758
290.25,0.269758
290.5,0.269758
290.75,0.269758
291,0.269758
291.25,0.269758
291.5,0.269758
291.75,0.269758
292,0.269758
292.25,0.269758
292.5,0.269758
292.75,0.269758
293,0.269758
293.25,0.269758
293.5,0.269758
293.75,0.269758
294,0.269758
294.25,0.269758
294.5,0.269758
294.75,0.269758
295,0.269758
295.25,0.269758
295.5,0.269758
295.75,0.269758
296,0.269758
296.25,0.269758
296.5,0.269758
296.75,0.269758
