Time,num_cumulative_hospitalizations
196.75,358283
197,358283
197.25,358283
197.5,358283
197.75,358283
198,358283
198.25,358283
198.5,358283
198.75,358283
199,358283
199.25,358283
199.5,358283
199.75,358283
200,358283
200.25,358283
200.5,358283
200.75,358283
201,358283
201.25,358283
201.5,358283
201.75,358283
202,358283
202.25,358283
202.5,358283
202.75,358283
203,358283
203.25,358283
203.5,358283
203.75,358283
204,358283
204.25,358283
204.5,358283
204.75,358283
205,358283
205.25,358283
205.5,358283
205.75,358283
206,358283
206.25,358283
206.5,358283
206.75,358283
207,358283
207.25,358283
207.5,358283
207.75,358283
208,358283
208.25,358283
208.5,358283
208.75,358283
209,358283
209.25,358283
209.5,358283
209.75,358283
210,358283
210.25,358283
210.5,358283
210.75,358283
211,358283
211.25,358283
211.5,358283
211.75,358283
212,358283
212.25,358283
212.5,358283
212.75,358283
213,358283
213.25,358283
213.5,358283
213.75,358283
214,358283
214.25,358283
214.5,358283
214.75,358283
215,358283
215.25,358283
215.5,358283
215.75,358283
216,358283
216.25,358283
216.5,358283
216.75,358283
217,358283
217.25,358283
217.5,358283
217.75,358283
218,358283
218.25,358283
218.5,358283
218.75,358283
219,358283
219.25,358283
219.5,358283
219.75,358283
220,358283
220.25,358283
220.5,358283
220.75,358283
221,358283
221.25,358283
221.5,358283
221.75,358283
222,358283
222.25,358283
222.5,358283
222.75,358283
223,358283
223.25,358283
223.5,358283
223.75,358283
224,358283
224.25,358283
224.5,358283
224.75,358283
225,358283
225.25,358283
225.5,358283
225.75,358283
226,358283
226.25,358283
226.5,358283
226.75,358283
227,358283
227.25,358283
227.5,358283
227.75,358283
228,358283
228.25,358283
228.5,358283
228.75,358283
229,358283
229.25,358283
229.5,358283
229.75,358283
230,358283
230.25,358283
230.5,358283
230.75,358283
231,358283
231.25,358283
231.5,358283
231.75,358283
232,358283
232.25,358283
232.5,358283
232.75,358283
233,358283
233.25,358283
233.5,358283
233.75,358283
234,358283
234.25,358283
234.5,358283
234.75,358283
235,358283
235.25,358283
235.5,358283
235.75,358283
236,358283
236.25,358283
236.5,358283
236.75,358283
237,358283
237.25,358283
237.5,358283
237.75,358283
238,358283
238.25,358283
238.5,358283
238.75,358283
239,358283
239.25,358283
239.5,358283
239.75,358283
240,358283
240.25,358283
240.5,358283
240.75,358283
241,358283
241.25,358283
241.5,358283
241.75,358283
242,358283
242.25,358283
242.5,358283
242.75,358283
243,358283
243.25,358283
243.5,358283
243.75,358283
244,358283
244.25,358283
244.5,358283
244.75,358283
245,358283
245.25,358283
245.5,358283
245.75,358283
246,358283
246.25,358283
246.5,358283
246.75,358283
247,358283
247.25,358283
247.5,358283
247.75,358283
248,358283
248.25,358283
248.5,358283
248.75,358283
