Time,cumulative_mean_fraction_lambda_C
238.25,0.210131
238.5,0.210131
238.75,0.210131
239,0.210131
239.25,0.210131
239.5,0.210131
239.75,0.210131
240,0.210131
240.25,0.210131
240.5,0.210131
240.75,0.210131
241,0.210131
241.25,0.210131
241.5,0.210131
241.75,0.210131
242,0.210131
242.25,0.210131
242.5,0.210131
242.75,0.210131
243,0.210131
243.25,0.210131
243.5,0.210131
243.75,0.210131
244,0.210131
244.25,0.210131
244.5,0.210131
244.75,0.210131
245,0.210131
245.25,0.210131
245.5,0.210131
245.75,0.210131
246,0.210131
246.25,0.210131
246.5,0.210131
246.75,0.210131
247,0.210131
247.25,0.210131
247.5,0.210131
247.75,0.210131
248,0.210131
248.25,0.210131
248.5,0.210131
248.75,0.210131
249,0.210131
249.25,0.210131
249.5,0.210131
249.75,0.210131
250,0.210131
250.25,0.210131
250.5,0.210131
250.75,0.210131
251,0.210131
251.25,0.210131
251.5,0.210131
251.75,0.210131
252,0.210131
252.25,0.210131
252.5,0.210131
252.75,0.210131
253,0.210131
253.25,0.210131
253.5,0.210131
253.75,0.210131
254,0.210131
254.25,0.210131
254.5,0.210131
254.75,0.210131
255,0.210131
255.25,0.210131
255.5,0.210131
255.75,0.210131
256,0.210131
256.25,0.210131
256.5,0.210131
256.75,0.210131
257,0.210131
257.25,0.210131
257.5,0.210131
257.75,0.210131
258,0.210131
258.25,0.210131
258.5,0.210131
258.75,0.210131
259,0.210131
259.25,0.210131
259.5,0.210131
259.75,0.210131
260,0.210131
260.25,0.210131
260.5,0.210131
260.75,0.210131
261,0.210131
261.25,0.210131
261.5,0.210131
261.75,0.210131
262,0.210131
262.25,0.210131
262.5,0.210131
262.75,0.210131
263,0.210131
263.25,0.210131
263.5,0.210131
263.75,0.210131
264,0.210131
264.25,0.210131
264.5,0.210131
264.75,0.210131
265,0.210131
265.25,0.210131
265.5,0.210131
265.75,0.210131
266,0.210131
266.25,0.210131
266.5,0.210131
266.75,0.210131
267,0.210131
267.25,0.210131
267.5,0.210131
267.75,0.210131
268,0.210131
268.25,0.210131
268.5,0.210131
268.75,0.210131
269,0.210131
269.25,0.210131
269.5,0.210131
269.75,0.210131
270,0.210131
270.25,0.210131
270.5,0.210131
270.75,0.210131
271,0.210131
271.25,0.210131
271.5,0.210131
271.75,0.210131
272,0.210131
272.25,0.210131
272.5,0.210131
272.75,0.210131
273,0.210131
273.25,0.210131
273.5,0.210131
273.75,0.210131
274,0.210131
274.25,0.210131
274.5,0.210131
274.75,0.210131
275,0.210131
275.25,0.210131
275.5,0.210131
275.75,0.210131
276,0.210131
276.25,0.210131
276.5,0.210131
276.75,0.210131
277,0.210131
277.25,0.210131
277.5,0.210131
277.75,0.210131
278,0.210131
278.25,0.210131
278.5,0.210131
278.75,0.210131
279,0.210131
279.25,0.210131
279.5,0.210131
279.75,0.210131
280,0.210131
280.25,0.210131
280.5,0.210131
280.75,0.210131
281,0.210131
281.25,0.210131
281.5,0.210131
281.75,0.210131
282,0.210131
282.25,0.210131
282.5,0.210131
282.75,0.210131
283,0.210131
283.25,0.210131
283.5,0.210131
283.75,0.210131
284,0.210131
284.25,0.210131
284.5,0.210131
284.75,0.210131
285,0.210131
285.25,0.210131
285.5,0.210131
285.75,0.210131
286,0.210131
286.25,0.210131
286.5,0.210131
286.75,0.210131
287,0.210131
287.25,0.210131
287.5,0.210131
287.75,0.210131
288,0.210131
288.25,0.210131
288.5,0.210131
288.75,0.210131
289,0.210131
289.25,0.210131
289.5,0.210131
289.75,0.210131
290,0.210131
290.25,0.210131
290.5,0.210131
290.75,0.210131
291,0.210131
291.25,0.210131
291.5,0.210131
291.75,0.210131
292,0.210131
292.25,0.210131
292.5,0.210131
292.75,0.210131
